Keyword,Weight
파밍,1.0
비하인드,0.928408780767899
요즘,0.7783799198132205
던데 파밍,0.7493707070599603
물 최근,0.7459358625604304
오늘 밤,0.6399262571732849
오늘 내,0.6399262571732849
지금,0.6062989217103945
지금 연습,0.6052955767115529
최근,0.6040716311162336
몬 게임,0.583005609728645
게임 안,0.583005609728645
사진,0.5642305721987972
요즘 액세서리,0.5575745785310432
오늘 운동,0.5560909396525988
좋아요 요즘,0.5454661870464568
싶은,0.5448046510405571
오늘,0.5407135315750083
어제 비,0.5220145821715384
게임,0.5143847813958579
물 공포증,0.4875180552071708
캐럿,0.4868301870008854
촬영 텀,0.4853990637978795
지금 기분,0.4811743926695607
보스 게임,0.48009630282918564
촬영,0.47396175278371544
일찍 스케줄,0.4736523883647687
지금 커피,0.4617141204560878
괜찮으면 오늘,0.4496129869129012
게시 물,0.44283743014613786
타 게시,0.44282460463928836
가을 최애,0.43040053257723665
사진 공개,0.4300440409042354
오늘 한결,0.42566150741820125
연습,0.42118382499884943
고잉,0.4177958397068811
스케줄,0.4119238485577156
아침 일찍,0.40911813854694434
원우,0.4040705364287176
어제,0.4000521044801756
차이 운동,0.397990354472541
걱정 안,0.397133980241177
촬영 자주,0.39428619756964545
보드 게임,0.38679794862466305
게임 설명,0.38679794862466305
보이스 라이브,0.3810837763304637
간단하게 캐럿,0.38081532046160227
부족했어서 좀비,0.38029226106397235
게임 방송,0.3798298954581696
재밌었고 보스,0.3759519667416471
최애 가을,0.37447736349390587
행복합니다 캐럿,0.3683490979326935
추석,0.3678468448157745
최애,0.36645361753034655
공포증,0.3648428546588897
운동,0.3614336412389202
콘서트 스포일러,0.3604550180526895
좀비,0.35935516474056556
걱정,0.3587143215776549
고생 안,0.35486232122518496
당연히 안,0.35212214222496396
힘들어도 연습,0.34627536519593316
라이브,0.3456880940885569
비니,0.3449538601888248
최애 아이템,0.33874603542978793
공연,0.3328429597145655
있었냐,0.329331014388622
카메라,0.329303970386772
스포일러 안,0.32818881982611237
게시,0.3263889429576703
그랬나,0.32472504435936445
했지,0.3137174157370131
좀비 특집,0.31178558229936626
아프지 고생,0.31085445315800153
더위,0.31024422100663224
아침,0.3099955558752596
좋다 추석,0.30950366323802914
고생,0.3078033717704468
좀비 보고,0.307710678385559
외투 아침,0.30705739740032467
일찍,0.3067724013648817
라이브 피부,0.3017926502982939
아니라서 걱정,0.29793571510984346
약해,0.2969833256828674
바쁘지만 준비,0.2945140375470075
콘서트,0.29250632116024344
재밌었고,0.2912600676816192
속도,0.290868757454575
보스,0.28942792048508764
일찍 나가야,0.28909915920029106
바쁘지만 활동,0.28782003953853874
콘서트 중간,0.2873206502871705
아침 저녁,0.28316830878804056
맛있는,0.2798749894669961
두꺼운 셔츠,0.2794441045376923
자주 해,0.2789565483722385
많아요 비니,0.2777318708275392
가을,0.27689017969817975
소리,0.27617974601064654
출구 지하철,0.2750151905945008
